Query;Last 28 days Clicks;Previous 28 days Clicks;Last 28 days Impressions;Previous 28 days Impressions;Last 28 days CTR;Previous 28 days CTR;Last 28 days Position;Previous 28 days Position;
using utm;0;0;302;320;0%;0%;63.66;77.07;
objective definition;0;0;296;297;0%;0%;63.44;58.61;
referencement;0;0;295;268;0%;0%;22.94;23.65;
web traffic analytics;0;0;294;265;0%;0%;64.48;68.42;
spécialiste adwords;0;0;293;540;0%;0%;74.11;73.5;
strategy example;0;0;289;182;0%;0%;3.07;2.21;
gestion de projet;0;0;289;364;0%;0%;48.95;52.02;
adobe analytics vs google analytics;0;0;287;204;0%;0%;70.28;71.88;
best seo company in montreal;0;0;286;450;0%;0%;54.13;40.64;
keyword grouper;0;0;286;0;0%;0%;92.53;0;
agence référencement web;0;1;284;221;0%;0.45%;6.91;4.1;
data studio;0;0;284;282;0%;0%;69.92;62.42;
customer experience cx;0;0;284;0;0%;0%;93.48;0;
customer data platform definition;0;0;283;0;0%;0%;70.4;0;
keywords google;0;0;281;261;0%;0%;72.17;71.91;
tous azimuts stm;0;0;279;269;0%;0%;7.56;9.15;
actionable data;0;0;279;371;0%;0%;16.13;27.16;
define lead generation;0;0;278;0;0%;0%;70.03;0;
fondation jean lapointe;0;0;274;0;0%;0%;8.84;0;
best customer data platform;0;0;273;0;0%;0%;83.07;0;
agence de référencement;0;1;270;292;0%;0.34%;13.87;13.42;
expert seo montreal;0;0;268;270;0%;0%;23.07;19.96;
rich snippets examples;0;0;268;271;0%;0%;43.61;42.85;
utm link;0;0;263;330;0%;0%;35.99;37.6;
customer data infrastructure;0;1;263;294;0%;0.34%;39.62;62.87;
courriel;0;0;262;404;0%;0%;44.59;37.54;
utm source;0;0;259;234;0%;0%;72.61;73.8;
utm tags;0;0;255;186;0%;0%;50.3;63.69;
digital media;0;0;253;292;0%;0%;47.82;41.13;
outsource your digital marketing;0;0;252;184;0%;0%;58.82;82.28;
attribution analysis;0;0;252;274;0%;0%;77.76;76.01;
seo services;0;0;251;343;0%;0%;81.27;75.03;
data management platform definition;0;0;250;134;0%;0%;40.04;56.19;
last click attribution;0;0;250;303;0%;0%;47.5;40.89;
subscription box;0;0;250;200;0%;0%;79.19;94.53;
optimisation adwords;0;0;249;266;0%;0%;13.17;13.27;
dmp data management platform;0;0;245;0;0%;0%;83.52;0;
optimisation campagne adwords;0;0;244;253;0%;0%;13.36;13.08;
agence web;0;0;244;175;0%;0%;75;76.66;
experience utilisateur;0;0;243;179;0%;0%;39.02;41.7;
youtube ads;0;0;242;204;0%;0%;28.76;24.59;
define strategy;0;0;241;263;0%;0%;23.8;21.22;
marketing lead;0;0;241;0;0%;0%;43.83;0;
tactics examples;0;0;239;196;0%;0%;3.13;3.43;
agence référencement;0;0;239;262;0%;0%;10.97;9.87;
referencement site web;0;1;239;251;0%;0.4%;42.56;25.56;
web site development;0;0;239;249;0%;0%;71.36;62.04;
agence référencement naturel;0;0;238;259;0%;0%;14.48;12.91;
marketing artificial intelligence;0;0;238;310;0%;0%;54.04;81.15;
r analytics;0;0;236;213;0%;0%;67.49;68;
organizational culture;0;0;235;222;0%;0%;69.4;77.7;
workshop template;0;0;234;299;0%;0%;32.99;15.31;
stm tous azimuts;0;0;233;0;0%;0%;9.81;0;
not provided analytics;0;0;232;198;0%;0%;10.99;8.88;
voice search;0;0;232;237;0%;0%;96.75;79.36;
marketing automation;0;0;231;224;0%;0%;55.58;40.56;
googleca;0;0;228;0;0%;0%;9.66;0;
what is lead generation marketing;0;0;228;0;0%;0%;39.76;0;
ai marketing;0;0;227;0;0%;0%;65.44;0;
seo monitor content performance;0;0;226;0;0%;0%;77.04;0;
sem best practices;0;0;224;155;0%;0%;43.38;42.94;
what is online merchandising;0;0;224;270;0%;0%;44.37;40.13;
mass marketing examples;0;0;223;147;0%;0%;17.91;32.63;
best seo agency in montreal;0;0;222;367;0%;0%;70.87;55.62;
traffic source;0;0;220;0;0%;0%;97.01;0;
mobile app install campaigns;0;0;219;227;0%;0%;29.25;30.38;
what is a ux strategy;0;0;219;223;0%;0%;55.95;64.76;
tactical goals;0;0;218;0;0%;0%;5.55;0;
user experience ux;0;0;217;0;0%;0%;56.38;0;
agence numérique;0;1;215;204;0%;0.49%;17.04;13.2;
google ranking analysis;0;0;214;262;0%;0%;47.39;81.73;
google web traffic;0;0;214;185;0%;0%;67.88;79.72;
utm in google analytics;0;0;214;139;0%;0%;80.18;72.05;
exacttarget data extract;0;0;213;220;0%;0%;26.18;26.9;
artificial intelligence marketing;0;0;213;0;0%;0%;62.77;0;
content marketing montreal;0;1;212;329;0%;0.3%;5.22;15.6;
adwords what is it;0;0;212;258;0%;0%;46.44;44.09;
mots clés google;0;0;212;195;0%;0%;57.08;50.76;
cdp customer data platform;0;0;212;0;0%;0%;62.65;0;
image de marque;0;0;212;302;0%;0%;65.75;59.03;
lead generation sources;0;0;212;0;0%;0%;66.81;0;
positionnement stratégique;0;0;211;207;0%;0%;35.68;43.58;
content creation;0;0;211;540;0%;0%;84.9;79.66;
référencement web montréal;0;0;210;202;0%;0%;3.15;1.32;
content strategy;0;0;210;0;0%;0%;94.84;0;
strategic goals and objectives;0;1;209;136;0%;0.74%;2.99;2.76;
google us;0;0;209;228;0%;0%;50.96;21.93;
keyword tool;0;0;208;252;0%;0%;50.95;44.17;
digital marketing agency in montreal;0;0;208;446;0%;0%;91.88;83.68;
agence referencement web;0;0;207;216;0%;0%;8.13;5.78;
veille médias sociaux;0;1;207;219;0%;0.46%;24.87;38.03;
seo service montreal;0;0;206;251;0%;0%;62.37;39.52;
adwords keyword planner;0;0;204;256;0%;0%;36.74;31.89;
consultant google analytics;0;0;201;209;0%;0%;74.68;80.37;
attribution omnicanal;0;1;200;178;0%;0.56%;27;21.87;
recherche vocale google;0;0;200;252;0%;0%;37.21;29.24;
isearch from;0;0;199;206;0%;0%;9.77;10.59;
intelligence artificielle;0;0;199;207;0%;0%;47.31;48.36;
google utm;0;0;199;159;0%;0%;72.17;75;
data analytics dashboard;0;0;198;315;0%;0%;24.33;21.9;
sem agency;0;0;198;204;0%;0%;75.77;91.18;
agence seo quebec;0;0;198;197;0%;0%;75.88;70.97;
modèles d’attribution marketing;0;0;198;173;0%;0%;77.83;77.64;
cdp data;0;0;196;220;0%;0%;46.28;62.5;
lead in marketing;0;0;194;176;0%;0%;43.18;61.41;
behavioural marketing;0;0;194;182;0%;0%;58.48;73.14;
média numérique;0;4;193;179;0%;2.23%;8.18;7.78;
cirque du soleil;0;0;193;177;0%;0%;49.68;60.71;
evenko;0;0;192;159;0%;0%;18.86;17.66;
tag manager;0;0;192;222;0%;0%;78.1;65.82;
customer data management platform;0;0;192;0;0%;0%;79.76;0;
référencement montreal;0;0;191;199;0%;0%;2.84;2.07;
tableau de bord excel;0;0;191;165;0%;0%;35.38;49.43;
utm tag;0;0;190;226;0%;0%;39.02;46.96;
what is dmp;0;0;189;0;0%;0%;83.3;0;
pme montreal;0;0;188;0;0%;0%;12.53;0;
actionable insight;0;0;188;205;0%;0%;15.41;16.61;
formation google analytics;0;0;188;209;0%;0%;37.02;35.46;
seo snippets;0;0;187;159;0%;0%;13.58;13.4;
adwords sem;0;0;187;165;0%;0%;18.3;20.18;
augmented analytics;0;0;187;0;0%;0%;76.86;0;
analytics 360 pricing;0;0;186;158;0%;0%;43.23;47.13;
what is voice search;0;0;186;163;0%;0%;142.85;137.72;
référencement site web;0;0;185;210;0%;0%;28.32;22.62;
référencement naturel;0;0;185;0;0%;0%;52.73;0;
tactics and strategy;0;0;183;152;0%;0%;11.24;8.96;
veille réseaux sociaux;0;0;183;173;0%;0%;34.61;25.17;
exacttarget;0;0;183;236;0%;0%;77.21;79.82;
google page ranking;0;0;183;0;0%;0%;88.62;0;
reitmans;0;2;182;84;0%;2.38%;32.02;36.75;
stratégie seo;0;0;182;156;0%;0%;70.19;89.1;
ux;0;0;182;0;0%;0%;72.34;0;
agence marketing montréal;0;1;182;227;0%;0.44%;83.52;75.55;
seo expert montreal;0;0;181;180;0%;0%;13.17;12.47;
sales lead management;0;0;181;222;0%;0%;84.24;64.82;
social marketing agency;0;0;181;157;0%;0%;89.96;87.71;
firme marketing;0;0;180;163;0%;0%;31.91;27.85;
gdpr;0;0;179;0;0%;0%;56.47;0;
lasik;0;0;179;259;0%;0%;87.66;83.84;
premiere chaine;0;0;178;0;0%;0%;7.73;0;
azimut stm;0;0;178;0;0%;0%;12.64;0;
customer data platform use cases;0;0;178;0;0%;0%;72.07;0;
google adwords keyword planner;0;0;177;187;0%;0%;19.78;17.23;
adwords ad writing tool;0;0;177;174;0%;0%;21.67;21.95;
ecommerce marketing;0;0;177;0;0%;0%;88.27;0;
not-provided;0;0;176;180;0%;0%;26.65;28.38;
stratégie et tactique;0;6;0;115;0%;5.22%;0;8.58;
le bon client;0;5;0;14;0%;35.71%;0;1.86;
safari résultats similaires;0;4;0;305;0%;1.31%;0;8.16;
facebook ad language;0;4;0;20;0%;20%;0;6.7;
taille image mail;0;3;0;83;0%;3.61%;0;6.55;
le marketing de masse;0;3;0;74;0%;4.05%;0;6.84;
brief marketing;0;3;0;40;0%;7.5%;0;22.68;
quebectorrent nouveau site;0;3;0;18;0%;16.67%;0;1.44;
qualité d'un bon gestionnaire de projet;0;3;0;18;0%;16.67%;0;5.33;
difference between objectives and tactics;0;3;0;10;0%;30%;0;4;
what organizational culture aspects will influence a project;0;3;0;9;0%;33.33%;0;2.67;
un bon client;0;2;0;123;0%;1.63%;0;5.07;
goals vs strategies;0;2;0;58;0%;3.45%;0;6.76;
format image mail;0;2;0;41;0%;4.88%;0;7.05;
intelligence artificielle marketing;0;2;0;40;0%;5%;0;18.85;
content briefs;0;2;0;39;0%;5.13%;0;3.87;
objectif stratégique exemple;0;2;0;38;0%;5.26%;0;4.79;
acheter des mots clés;0;2;0;36;0%;5.56%;0;7.78;
merchandising en ligne;0;2;0;28;0%;7.14%;0;7.71;
how to define strategy;0;2;0;26;0%;7.69%;0;8.08;
planification stratégique tactique et opérationnel;0;2;0;23;0%;8.7%;0;7.57;
je déteste les lundis;0;2;0;20;0%;10%;0;2.1;
jean-francois renaud;0;2;0;19;0%;10.53%;0;1.47;
emerging models;0;2;0;17;0%;11.76%;0;1.47;
service a la clientele reitmans;0;2;0;16;0%;12.5%;0;8.25;
50 of searches will be voice by 2020;0;2;0;15;0%;13.33%;0;9.67;
plan de gestion des parties prenantes;0;2;0;13;0%;15.38%;0;2.23;
faire une vigie;0;2;0;13;0%;15.38%;0;4.77;
algoritme tinder;0;2;0;12;0%;16.67%;0;1;
data science with google analytics;0;2;0;12;0%;16.67%;0;4.5;
strategy versus goals;0;2;0;12;0%;16.67%;0;9;
netflix stratégie de différenciation;0;2;0;11;0%;18.18%;0;9.09;
adviso logo;0;2;0;8;0%;25%;0;1;
objectif stratégie;0;2;0;5;0%;40%;0;3.2;
google analytics chicago;0;2;0;5;0%;40%;0;4.6;
rich snippets.;0;2;0;2;0%;100%;0;1;
safari;0;1;0;496;0%;0.2%;0;13.28;
google adwords keyword tool;0;1;0;400;0%;0.25%;0;16.51;
social alienation;0;1;0;315;0%;0.32%;0;12.83;
google keyword tool;0;1;0;290;0%;0.34%;0;49.66;
buy keywords;0;1;0;211;0%;0.47%;0;10.72;
referencement montreal;0;1;0;206;0%;0.49%;0;3.31;
tinder elo score;0;1;0;169;0%;0.59%;0;3.31;
outil sem;0;1;0;165;0%;0.61%;0;5.06;
hyper segmentation;0;1;0;137;0%;0.73%;0;7.34;
stratégie marketing automation;0;1;0;120;0%;0.83%;0;53.17;
elo score tinder;0;1;0;106;0%;0.94%;0;4.56;
turn data into actionable insights;0;1;0;103;0%;0.97%;0;5.79;
application concours;0;1;0;93;0%;1.08%;0;10.29;
snippets;0;1;0;91;0%;1.1%;0;9.3;
attribution adobe analytics;0;1;0;88;0%;1.14%;0;8.33;
strategie de contenu;0;1;0;86;0%;1.16%;0;25.47;
google analytics not provided;0;1;0;85;0%;1.18%;0;12.26;
outils sem;0;1;0;81;0%;1.23%;0;7.4;
website ranking canada;0;1;0;78;0%;1.28%;0;9.46;
spontaneous application;0;1;0;76;0%;1.32%;0;53.22;
google dmp;0;1;0;66;0%;1.52%;0;25.35;
pages vues google analytics;0;1;0;57;0%;1.75%;0;8.21;
stratégie vs tactique;0;1;0;54;0%;1.85%;0;10.57;
how to buy keywords on google;0;1;0;52;0%;1.92%;0;7.08;
goal strategy tactics;0;1;0;51;0%;1.96%;0;2.45;
organization culture can significantly influence project time and cost ;;;;;;;;;
stratégie ux;0;1;0;51;0%;1.96%;0;19.45;
conseil marketing;0;1;0;46;0%;2.17%;0;17.43;
martech trends;0;1;0;46;0%;2.17%;0;26.3;
image newsletter;0;1;0;44;0%;2.27%;0;4.86;
strategie;0;1;0;44;0%;2.27%;0;14.34;
ecommerce org chart;0;1;0;44;0%;2.27%;0;33.14;
pied de page site web;0;1;0;43;0%;2.33%;0;8.33;
rigor;0;1;0;43;0%;2.33%;0;65.72;
tableau de bord web;0;1;0;41;0%;2.44%;0;1;
difference between strategy and goals;0;1;0;39;0%;2.56%;0;7.23;
cheatsheet traduction;0;1;0;39;0%;2.56%;0;9.38;
our team;0;1;0;39;0%;2.56%;0;28.08;
unifying data;0;1;0;38;0%;2.63%;0;6.26;
c'est quoi une stratégie;0;1;0;37;0%;2.7%;0;9.92;
how to manage stakeholders;0;1;0;34;0%;2.94%;0;12.06;
agence media sociaux montreal;0;1;0;34;0%;2.94%;0;39.15;
combien de pages facebook peut on créer;0;1;0;33;0%;3.03%;0;5.09;
how to measure corporate reputation;0;1;0;33;0%;3.03%;0;19.85;
search 2020;0;1;0;32;0%;3.12%;0;7.88;
google mot cles;0;1;0;32;0%;3.12%;0;16.22;
organizational influences on project management;0;1;0;31;0%;3.23%;0;13.29;
définition session google analytics;0;1;0;30;0%;3.33%;0;10.1;
bouton de partage facebook;0;1;0;29;0%;3.45%;0;6.24;
data driven traduction;0;1;0;28;0%;3.57%;0;7.54;
goal objective strategy tactic template;0;1;0;26;0%;3.85%;0;1;
acheter des mots clés sur google;0;1;0;26;0%;3.85%;0;7.62;
certain aspects of the culture of an organization support successful ;;;;;;;;;
strategy and goals;0;1;0;24;0%;4.17%;0;6.04;
difference between goal and strategy;0;1;0;24;0%;4.17%;0;9.46;
a quoi sert la stratégie;0;1;0;24;0%;4.17%;0;11.75;
webdocumentaire;0;1;0;24;0%;4.17%;0;42.25;
les objectifs de la stratégie;0;1;0;23;0%;4.35%;0;5.26;
tinder résultats similaires;0;1;0;22;0%;4.55%;0;1.82;
plan d'action stratégique;0;1;0;22;0%;4.55%;0;9.23;
strategie tinder;0;1;0;21;0%;4.76%;0;4.05;
one pager en francais;0;1;0;21;0%;4.76%;0;6.05;
google data studio power bi;0;1;0;21;0%;4.76%;0;9.19;
audience center 360;0;1;0;21;0%;4.76%;0;18.57;
formation data seo labs;0;1;0;21;0%;4.76%;0;41.14;
opérationnel tactique stratégique;0;1;0;20;0%;5%;0;2.1;
seo content brief template;0;1;0;20;0%;5%;0;8.3;
sessions google analytics;0;1;0;20;0%;5%;0;10.2;
google.ca vs google.com;0;1;0;19;0%;5.26%;0;5.53;
qu'est ce que le taux de rebond google analytics;0;1;0;19;0%;5.26%;0;7.37;
amazon chiffre;0;1;0;19;0%;5.26%;0;9.32;
je hais les lundis;0;1;0;18;0%;5.56%;0;1.22;
mesure de la notoriété;0;1;0;18;0%;5.56%;0;4.83;
chiffre d'affaire amazon 2019;0;1;0;18;0%;5.56%;0;10.72;
hyper-segmentation;0;1;0;17;0%;5.88%;0;8.12;
gestion tactique;0;1;0;17;0%;5.88%;0;8.18;
adobe analytics attribution model;0;1;0;17;0%;5.88%;0;9.29;
woobox francais;0;1;0;17;0%;5.88%;0;9.41;
uiwebview c'est quoi;0;1;0;17;0%;5.88%;0;10.76;
objectives and tactics;0;1;0;16;0%;6.25%;0;1.38;
difference between objectives and strategy;0;1;0;16;0%;6.25%;0;4.38;
objectives of strategy;0;1;0;16;0%;6.25%;0;5.88;
nombre d'utilisateurs amazon;0;1;0;16;0%;6.25%;0;7.62;
actionable insights definition;0;1;0;16;0%;6.25%;0;8.88;
manage stakeholders;0;1;0;16;0%;6.25%;0;11.44;
boite abonnement;0;1;0;15;0%;6.67%;0;7.4;
data-driven traduction;0;1;0;15;0%;6.67%;0;7.93;
la culture organisationnelle d'une entreprise;0;1;0;15;0%;6.67%;0;11.07;
app concours facebook;0;1;0;14;0%;7.14%;0;4.86;
exemple de strategie;0;1;0;14;0%;7.14%;0;6.36;
plan d'engagement des parties prenantes;0;1;0;14;0%;7.14%;0;7.21;
amazon nombre d'utilisateurs;0;1;0;14;0%;7.14%;0;8.07;
culture organisationnelle définition;0;1;0;14;0%;7.14%;0;20.07;
tactique stratégique opérationnel;0;1;0;13;0%;7.69%;0;4.46;
how to turn data into insights;0;1;0;13;0%;7.69%;0;5.92;
objectives and strategies examples;0;1;0;12;0%;8.33%;0;6.83;
strategy goal objective;0;1;0;11;0%;9.09%;0;3.82;
what is actionable insights;0;1;0;11;0%;9.09%;0;10.64;
un cdp;0;1;0;11;0%;9.09%;0;17.55;
microdata rich snippets;0;1;0;11;0%;9.09%;0;36.73;
plateforme programmatique;0;1;0;11;0%;9.09%;0;49.09;
strategies vs goals;0;1;0;10;0%;10%;0;5;
application pour concours;0;1;0;10;0%;10%;0;5.3;
un stack;0;1;0;10;0%;10%;0;10.9;
keys to project management;0;1;0;10;0%;10%;0;51.6;
mesurer la notoriété;0;1;0;9;0%;11.11%;0;4.89;
sem outils;0;1;0;9;0%;11.11%;0;6.67;
traduction analytics;0;1;0;9;0%;11.11%;0;7.56;
diffuseur uniprix;0;1;0;9;0%;11.11%;0;9.89;
acheter mot clé google;0;1;0;9;0%;11.11%;0;12.33;
objective strategy tactics example;0;1;0;8;0%;12.5%;0;1;
strategy vs goal vs objective;0;1;0;8;0%;12.5%;0;4.75;
stratégie tinder;0;1;0;8;0%;12.5%;0;5.88;
strategic priorities vs goals;0;1;0;8;0%;12.5%;0;26.88;
marketing channels adobe analytics;0;1;0;8;0%;12.5%;0;29.88;
médias numérique;0;1;0;7;0%;14.29%;0;5;
optimiser son profil tinder;0;1;0;7;0%;14.29%;0;10.57;
defining strategies;0;1;0;7;0%;14.29%;0;10.71;
ticket ville de montreal;0;1;0;7;0%;14.29%;0;17.86;
google analytics safari (in-app);0;1;0;7;0%;14.29%;0;19.43;
martech trends 2020;0;1;0;7;0%;14.29%;0;20.71;
strategic planning goals objectives strategies tactics;0;1;0;6;0%;16.67%;0;4;
suite google 360;0;1;0;6;0%;16.67%;0;8.33;
amazon empire;0;1;0;6;0%;16.67%;0;8.83;
machine learning avantages;0;1;0;6;0%;16.67%;0;9.83;
abonnement produits de beauté;0;1;0;6;0%;16.67%;0;12.5;
calcul taux de rebond;0;1;0;6;0%;16.67%;0;13;
benefits of using data from multiple sources;0;1;0;6;0%;16.67%;0;16.5;
insights examples;0;1;0;6;0%;16.67%;0;24.67;
strategies examples;0;1;0;6;0%;16.67%;0;25.33;
campaign tag;0;1;0;6;0%;16.67%;0;37.5;
strategies objectives;0;1;0;5;0%;20%;0;1;
google bouge;0;1;0;5;0%;20%;0;6.8;
rich-snippet;0;1;0;5;0%;20%;0;16.4;
data studio sampling;0;1;0;5;0%;20%;0;36.6;
segmentation facebook;0;1;0;4;0%;25%;0;3;
google bounce rate;0;1;0;4;0%;25%;0;4.25;
departments in an ecommerce business;0;1;0;4;0%;25%;0;5.75;
game changers definition;0;1;0;4;0%;25%;0;6;
calcul contraste couleur;0;1;0;4;0%;25%;0;6.5;
fares aldik;0;1;0;4;0%;25%;0;6.75;
entreprise digital marketing;0;1;0;4;0%;25%;0;7;
cabinet de conseil marketing;0;1;0;4;0%;25%;0;7.75;
chiffres d'affaires amazon;0;1;0;4;0%;25%;0;8;
liens utm;0;1;0;4;0%;25%;0;9.5;
boutique cascades;0;1;0;4;0%;25%;0;11.5;
ecommerce organization;0;1;0;4;0%;25%;0;17;
google ads for app installs;0;1;0;4;0%;25%;0;17;
netflix stratégie;0;1;0;4;0%;25%;0;17.75;
stratégie d'engagement des parties prenantes;0;1;0;3;0%;33.33%;0;2.33;
itm vs utm;0;1;0;3;0%;33.33%;0;3.33;
taille infographie;0;1;0;3;0%;33.33%;0;7;
application de veille;0;1;0;3;0%;33.33%;0;7.33;
naurilus plus;0;1;0;3;0%;33.33%;0;9.67;
game changers in french;0;1;0;3;0%;33.33%;0;10;
traduction powered by;0;1;0;3;0%;33.33%;0;10.67;
attribution iq adobe analytics;0;1;0;3;0%;33.33%;0;13;
boites surprises;0;1;0;3;0%;33.33%;0;22;
google analytics forecasting;0;1;0;3;0%;33.33%;0;27.67;
trafic seo;0;1;0;2;0%;50%;0;3;
connexion 2019;0;1;0;2;0%;50%;0;5.5;
nombre de caractères facebook;0;1;0;2;0%;50%;0;6;
objectif technique;0;1;0;2;0%;50%;0;6;
réussite d'un projet;0;1;0;2;0%;50%;0;7;
ia et marketing;0;1;0;2;0%;50%;0;8;
donnée analytique;0;1;0;2;0%;50%;0;9;
torrente t411;0;1;0;2;0%;50%;0;10;
formation bigquery;0;1;0;2;0%;50%;0;19;
ecommerce organization structure;0;1;0;2;0%;50%;0;36;
seo consultant canada;0;1;0;2;0%;50%;0;38;
differences between strategy and tactics;0;1;0;2;0%;50%;0;45;
objectives strategy tactics examples;0;1;0;1;0%;100%;0;1;
strategie google ads;0;1;0;1;0%;100%;0;1;
var pagetracker = _gat._gettracker;0;1;0;1;0%;100%;0;4;
power bi de google;0;1;0;1;0%;100%;0;5;
stratégie de contenu web;0;1;0;1;0%;100%;0;6;
agence web pour le seo;0;1;0;1;0%;100%;0;7;
box beauté;0;1;0;1;0%;100%;0;9;
c'est quoi un plan d'action;0;1;0;1;0%;100%;0;9;
abonnement mensuel produit de beauté;0;1;0;1;0%;100%;0;11;
marketing qr code;0;1;0;1;0%;100%;0;11;
birchbox marketing;0;1;0;1;0%;100%;0;17;
ga attribution beta;0;1;0;1;0%;100%;0;23;
tendances marketing 2020;0;1;0;1;0%;100%;0;28;
bad waq;0;1;0;1;0%;100%;0;39;
distribution e commerce;0;1;0;1;0%;100%;0;39;
identifier les attentes des parties prenantes;0;1;0;1;0%;100%;0;45;
conversion rate optimization (cro);0;1;0;1;0%;100%;0;150;
tinder;0;0;0;14348;0%;0%;0;5.94;
alienation;0;0;0;5441;0%;0%;0;12.11;
traduire;0;0;0;749;0%;0%;0;42.13;
alienated;0;0;0;607;0%;0%;0;10.88;
google tag manager;0;0;0;559;0%;0%;0;77.66;
what is digital strategy;0;0;0;476;0%;0%;0;60.81;
google.;ca;0;0;0;472;0%;0%;0;8.86
mots clés;0;0;0;419;0%;0%;0;84.1;
googl.eca;0;0;0;398;0%;0%;0;8.99;
google advertising;0;0;0;373;0%;0%;0;68.14;
google;.ca;0;0;0;372;0%;0%;0;8.87
google usa;0;0;0;336;0%;0%;0;33.33;
google usa search;0;0;0;335;0%;0%;0;21.5;
googlemca;0;0;0;317;0%;0%;0;9.65;
mbam;0;0;0;317;0%;0%;0;64.59;
strategy examples;0;0;0;314;0%;0%;0;6.75;
formation seo;0;0;0;312;0%;0%;0;34.1;
google. ca;0;0;0;310;0%;0%;0;9.62;
agence marketing web montreal;0;0;0;309;0%;0%;0;79.34;
digital strategy development;0;0;0;304;0%;0%;0;41.11;
digital marketing insights;0;0;0;301;0%;0%;0;47.55;
what is alienation;0;0;0;300;0%;0%;0;8.15;
montreal seo agency;0;0;0;292;0%;0%;0;81.05;
montreal seo services;0;0;0;270;0%;0%;0;89.49;
park avenue logo;0;0;0;262;0%;0%;0;1;
national bank of canada;0;0;0;262;0%;0%;0;64.52;
seo migrationsplan;0;0;0;246;0%;0%;0;52.44;
food industry trends;0;0;0;244;0%;0%;0;62.55;
alienating;0;0;0;242;0%;0%;0;15.21;
google rich snippets;0;0;0;236;0%;0%;0;12.39;
digital media strategy;0;0;0;236;0%;0%;0;48.05;
lead generation marketing montreal;0;0;0;234;0%;0%;0;30.71;
business strategy definition;0;0;0;234;0%;0%;0;83.54;
qr code;0;0;0;228;0%;0%;0;77.36;
google analytics authorized consultant;0;0;0;226;0%;0%;0;40.46;
sales lead generation;0;0;0;226;0%;0%;0;42.33;
personnalisation;0;0;0;226;0%;0%;0;67.4;
link building;0;0;0;225;0%;0%;0;31.38;
advanced analysis;0;0;0;222;0%;0%;0;52.1;
digital strategy company;0;0;0;222;0%;0%;0;77.08;
conversion rate;0;0;0;221;0%;0%;0;81.46;
adwords guide;0;0;0;212;0%;0%;0;85.07;
first click attribution;0;0;0;208;0%;0%;0;74.61;
position site google;0;0;0;208;0%;0%;0;87.45;
shoe store;0;0;0;207;0%;0%;0;63.95;
digital marketing developer;0;0;0;205;0%;0%;0;28.15;
what does ecommerce mean;0;0;0;205;0%;0%;0;67.57;
optimiser campagne adwords;0;0;0;204;0%;0%;0;28.48;
lune rouge entertainment;0;0;0;199;0%;0%;0;10.2;
lead ads;0;0;0;197;0%;0%;0;76.18;
externaliser son marketing;0;0;0;196;0%;0%;0;75.74;
business intelligence;0;0;0;196;0%;0%;0;97.09;
digital marketing montreal;0;0;0;195;0%;0%;0;97.28;
agence marketing montreal;0;0;0;194;0%;0%;0;89.2;
marketing automation objectives;0;0;0;192;0%;0%;0;57.98;
strategic objectives examples;0;0;0;189;0%;0%;0;22.59;
digital market;0;0;0;187;0%;0%;0;53.22;
google/ca;0;0;0;186;0%;0%;0;8.87;
expérience client;0;0;0;186;0%;0%;0;28.29;
utm google;0;0;0;186;0%;0%;0;76.97;
knowledge graph google;0;0;0;186;0%;0%;0;82.95;
marketing digital montreal;0;0;0;183;0%;0%;0;72.74;
tactics definition;0;0;0;182;0%;0%;0;21.71;
uniprix;0;0;0;182;0%;0%;0;35.14;
marketing web montreal;0;0;0;181;0%;0%;0;56.44;
adwords analyzer;0;0;0;181;0%;0%;0;79.56;
advantages of user generated content;0;0;0;180;0%;0%;0;70.48;
campagne adwords;0;0;0;179;0%;0%;0;46.74;
google usa serp;0;0;0;179;0%;0%;0;48.83;
single customer view database;0;0;0;179;0%;0%;0;56.04;
sem google ads;0;0;0;179;0%;0%;0;61.59;
google data studio alternative;0;0;0;178;0%;0%;0;59.07;
mobile install ads;0;0;0;177;0%;0%;0;66.32;
insights from data;0;0;0;175;0%;0%;0;17.23;
customer data unification;0;0;0;175;0%;0%;0;90.86;
publicité numérique;0;0;0;174;0%;0%;0;31.16;
google keyword;0;0;0;173;0%;0%;0;30.29;
pagerank sculpting;0;0;0;172;0%;0%;0;62.73;
les mots clés;0;0;0;172;0%;0%;0;79.62;
referencement web montreal;0;0;0;170;0%;0%;0;1.36;
dmp marketing definition;0;0;0;170;0%;0%;0;64.25;
formation seo montreal;0;0;0;169;0%;0%;0;20.57;
marketing leads;0;0;0;169;0%;0%;0;62.86;
automatisation marketing;0;0;0;167;0%;0%;0;34.66;
digital transformation ecommerce;0;0;0;167;0%;0%;0;66.7;
medias sociaux;0;0;0;166;0%;0%;0;37.96;
keyword 1;0;0;0;166;0%;0%;0;73.14;
elo tinder;0;0;0;165;0%;0%;0;1.79;
alienado;0;0;0;164;0%;0%;0;6.18;
customer view;0;0;0;164;0%;0%;0;34.14;
seo services in montreal;0;0;0;163;0%;0%;0;40.98;
mobile conversion tracking;0;0;0;163;0%;0%;0;56.37;
ergonomie site web;0;0;0;163;0%;0%;0;69.35;
how to write adwords;0;0;0;162;0%;0%;0;19.15;
seo company;0;0;0;161;0%;0%;0;39.98;
mots-clés;0;0;0;161;0%;0%;0;87.22;
mobile app install;0;0;0;159;0%;0%;0;47.09;
local seo montreal;0;0;0;159;0%;0%;0;60.71;
